Company Name,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,NAICS Codes,Short Description,Founded Year,Logo Url,Subsidiary of,Prerequisite: Determine Research Guidelines,Qualify Account,Prerequisite: Research Target Company,Enriched Emails,Enriched Phones
pharm.com.ng,pharm.com.ng,Cold,Pharmaceutical companies,3,pharmaceuticals,itsmartdigital@gmail.com,http://www.pharm.com.ng,http://www.linkedin.com/company/pharm-com-ng,,,Ring Rd,Ibadan,Oyo,Nigeria,,"Ring Rd, Ibadan, Oyo, Nigeria","retail pharmacy, pharmaceuticals, oncology, pharmaceutical manufacturing, medical, hospital & health care",'+234 906 000 9061,"Cloudflare DNS, CloudFlare Hosting, Google AdSense, Google Tag Manager, WordPress.org, Mobile Friendly, Woo Commerce",,,,,,,6991c1de8593ab00157895a2,,,"We are a foremost online pharmaceutical mall in Nigeria. Our mission is to ensure customers and their relatives have easy access to medications and health products as at when due, without delay at any location in Nigeria.",2018,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66d514f8bdf6900001cfbb97/picture,,,,,care@pharm.com.ng,"0
 
 
 
 
 
0, +234 906 000 9061"
Sygen Pharmaceuticals Ltd,Sygen Pharmaceuticals,Cold,Pharmaceutical companies,130,pharmaceuticals,itsmartdigital@gmail.com,http://www.sygenpharma.com,http://www.linkedin.com/company/sygen-pharmaceuticals-ltd,https://www.facebook.com/profile.php,https://twitter.com/sygen_pharma,Lagos Abeokuta Expy,Abeokuta,Ogun State,Nigeria,,"Lagos Abeokuta Expy, Abeokuta, Ogun State, Nigeria","pharmaceutical manufacturing, pharmaceutical and medicine manufacturing, analgesics, api production, iso and nafdac approved, pharmaceutical innovation in africa, public health improvement, antibiotics, community health, innovation, generic medicines, local api production in africa, monoclonal antibodies, supply chain, quality management system, therapeutic categories, antifungals, regulatory compliance, b2b, monoclonal antibody manufacturing, african healthcare transformation, regulatory standards, medical research, medical professionals, biotechnology, life sciences, product development, product portfolio, biotech capabilities, healthcare social impact, sustainable healthcare solutions, biotechnology in nigeria, multivitamins, healthcare access, community well-being, high-quality medicines, healthcare, pharmaceuticals, pharmaceutical products, health sciences, local api development, sustainability, antidiabetics, cough medications, biopharmaceuticals, holistic health, healthcare innovation, quality assurance, manufacturing, medical, health care, health, wellness & fitness, hospital & health care, environmental services, renewables & environment, mechanical or industrial engineering",'+234 906 287 3902,"Slack, Facebook Widget, WordPress.org, Mobile Friendly, Google Analytics, Facebook Login (Connect), Google Font API, Apache, Facebook Custom Audiences",,Other,,44197,,,6991c1de8593ab001578959e,2834,32541,"Sygen Pharmaceuticals Ltd is a Nigerian life sciences company founded in March 2019. It focuses on the development, manufacturing, and distribution of branded generic pharmaceuticals, primarily serving the West African region. The company aims to improve access to high-quality medicines and enhance patient outcomes. In December 2019, Sygen acquired the assets and legacy brands of Nigerian German Chemicals PLC, which has a long-standing presence in Nigeria.

Sygen manufactures over 16 categories of branded generic pharmaceuticals, including both over-the-counter and prescription medications. Its product range covers various therapeutic areas such as antidiabetics, analgesics, antifungals, and multivitamins. The company operates ISO- and NAFDAC-approved manufacturing facilities and emphasizes innovation and compliance with regulatory standards. Sygen is committed to fostering community well-being and improving healthcare outcomes in Nigeria and the surrounding region.",2019,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6968cbebe4081f000173b552/picture,,,,,hello@sygenpharma.com,
Sam-Ace Limited,Sam-Ace,Cold,Pharmaceutical companies,75,pharmaceuticals,itsmartdigital@gmail.com,http://www.sam-ace.com,http://www.linkedin.com/company/sam-ace-limited,,,,Gbongan,Osun,Nigeria,,"Gbongan, Osun, Nigeria","manufacturing, antibiotics, capsules, oral rehydration salt, syrup suspension, tablets, pharmaceuticals, ors, pharmaceutical manufacturing, quality medicines, medical devices, broad spectrum antibiotics, penicillinase stable antibiotics, quality control, healthcare solutions, beta lactam antibiotics nigeria, pharmaceutical industry nigeria, product registration, oral rehydration salts, pharmaceutical innovation, oral rehydration salts who list, pharmaceutical and medicine manufacturing, drug manufacturing, regulatory standards, quality assurance, pharmaceutical partnerships nigeria, strategic partnerships, scalable manufacturing facility, sub-saharan africa, antibacterial dry syrup, public health impact, medical product quality, beta lactam antibiotics, current good manufacturing practices, regulatory compliance, medicines access, product expansion, who essential medicines, healthcare, manufacturing facilities, b2b, scaled-up beta lactam plant, oral solid dosage forms, pharmaceutical industry, regulatory approval, gmp, pharmaceutical, regulatory, mechanical or industrial engineering, mobile devices, mobile, internet, information technology & services, medical, hospital & health care, health care, health, wellness & fitness",,Mobile Friendly,,,,,,,6991c1de8593ab001578959a,2834,32541,Leading Provider of Beta-lactam Antibiotics and Fluid & Electrolyte Replacement Therapy in Nigeria.,1991,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66e785d5a4bbd8000138772e/picture,,,,,info@sam-ace.com,
KCC Pharmaceuticals Ltd.,KCC Pharmaceuticals,Cold,Pharmaceutical companies,9,pharmaceuticals,itsmartdigital@gmail.com,http://www.kccng.com,http://www.linkedin.com/company/kcc-pharmaceuticals-ltd,,,Iporin St,Ilorin,Kwara,Nigeria,,"Iporin St, Ilorin, Kwara, Nigeria","pharmaceutical manufacturing, healthcare improvement, drug safety monitoring, medicines quality, risk management, medicines quality assurance, nigeria healthcare, community health, pharmaceutical and medicine manufacturing, healthcare system support, medicines safety, medical products, regulatory compliance, supply chain, sustainability, customer engagement, medicines regulation, product development, b2b, pharmacovigilance, public health, drug safety, disease prevention, pharmaceutical innovation, corticosteroids, medication production, pharmacists role, healthcare community, medication quality control, drug interaction management, patient safety, public health advocacy, research and development, quality assurance, antibiotics, medication safety, anti-malaria, product quality, safety standards, drug misuse prevention, public health campaigns, logistics, procurement, healthcare, antimalarial drugs, drug formulation, pharmaceutical industry, medical manufacturing, health education, patient care, health advocacy, malaria treatment, vitamins, quality control in pharma, medicines purity, drug interaction awareness, drug regulation, malaria medicines, pharmaceuticals, medication efficacy, pharmaceutical, regulatory, malaria, medicines production, medical, environmental services, renewables & environment, health, wellness & fitness, research & development, health care, hospital & health care",'+234 703 532 3596,"Apache, Mobile Friendly, Woo Commerce, WordPress.org, Google Font API, Bootstrap Framework",,,,,,,6991c1de8593ab001578958f,2834,32541,"Kwara Chemical Company (KCC) is a pharmaceutical manufacturing company dedicated to delivering high quality healthcare products for both human and veterinary use. Founded in 1995, the company has built a strong reputation in the industry for its customer relationship management and values driven operation.",1995,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/69805fd03d0f440001f0f14c/picture,,,,,pharmacovigilance@kccng.com,"+234-703-532-3596, 1 
 
 
 2 3 4 5 6 7 8 
 
 
 9 10 11 12 13 14 15 
 
 
 16 17 18 19 20 21 22 
 
 
 23 24 25 26 27 28, +12 345 678 90 
 24, +234 8169943712"
Nigerian-German Chemicals Plc,Nigerian-German Chemicals Plc,Cold,Pharmaceutical companies,110,pharmaceuticals,itsmartdigital@gmail.com,http://www.ngc.ng,http://www.linkedin.com/company/nigerian-german-chemicals-plc,,,,Abeokuta,Ogun State,Nigeria,,"Abeokuta, Ogun State, Nigeria","pharmaceutical manufacturing, pharmaceuticals, medical",'+234 815 085 9476,Remote,,,,,,,6991c1de8593ab0015789593,,,"Nigerian-German Chemicals Plc (""NGC"") is a leading manufacturer and distributor of beverages and pharmaceutical products.  The company was founded in 1964 as Hoechst Nigeria Limited.  NGC is listed on the Nigerian Stock Exchange and has over 400 employees.  The company's headquarters are located in Otta-Sango, Ogun State.  Besides its headquarters, NGC has nine additional depots and offices located across Nigeria. 

In its pharmaceutical segment, NGC focuses on diabetic treatment (Glanil and Gluformin), cough syrups, ibuprofen and paracetamol based pain medication (Daga, NGC-Valgin, and Tabalon), and multivitamins.  Through its beverage segment, NGC produces and sells Sparwasser Still Water, Vimto, Sparwasser Apple, and Sparwasser Lime 'n Lemon.",1964,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/670ca36d74ce58000122a690/picture,,,,,,
Kunle Ara,Kunle Ara,Cold,Pharmaceutical companies,53,pharmaceuticals,itsmartdigital@gmail.com,http://www.kunlearapharmacy.com,http://www.linkedin.com/company/ibadan-tech-collective,https://facebook.com/kunlearapharmacy,,2 Queen Elizabeth I I Road,Ibadan,Oyo,Nigeria,,"2 Queen Elizabeth I I Road, Ibadan, Oyo, Nigeria","pharmaceutical manufacturing, pharmaceuticals, medical",,,,,,,,,6991c1de8593ab00157895a1,,,"Kunle Ara Pharmacy Limited is a major retail and wholesale pharmaceutical company engaged in the sourcing and distribution of medical and pharmaceutical products in Nigeria. The Company since incorporation in 1995 started its retail and distribution business in Maiduguri, Borno State (North-Eastern Nigeria), and has grown to be a leading pharmacy in Nigeria.

Currently located opposite Nigeria's foremost and biggest hospital, University College Hospital, Ibadan,(South Western Nigeria), Kunle Ara Pharmacy is poised to provide a broad range of pharmaceutical services at the lowest possible price to diverse customers from Nigeria and indeed, the West African sub region.",1995,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66e3f4e0ad9b2f0001a50919/picture,,,,,,
Bentos Pharmaceutical Products Limited,Bentos Pharmaceutical Products,Cold,Pharmaceutical companies,42,pharmaceuticals,itsmartdigital@gmail.com,http://www.bentospharm.com,http://www.linkedin.com/company/bentos-pharmaceutical-products-limited,,,,Ibadan,Oyo,Nigeria,,"Ibadan, Oyo, Nigeria","pharmaceutical manufacturing, pharmaceuticals, medical",,"Bootstrap Framework, WordPress.org, Google Font API, Apache, Mobile Friendly, IoT",,,,,,,6991c1de8593ab0015789591,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,,,,,,
DABAK Pharmacy,DABAK Pharmacy,Cold,Pharmaceutical companies,15,pharmaceuticals,itsmartdigital@gmail.com,http://www.dabakpharma.com,http://www.linkedin.com/company/dabak-pharmacy,https://facebook.com/pages/Dabak-Nig-Ltd/632877736799017,https://twitter.com/dabakpharmang,Akarigbo Rd,Sagamu,Ogun State,Nigeria,,"Akarigbo Rd, Sagamu, Ogun State, Nigeria","pharmaceutical manufacturing, pharmaceuticals, medical",'+1 337-109-8225,"Cloudflare DNS, Mobile Friendly, Nginx, Baidu Ads",,,,,4511000,,6991c1de8593ab00157895a3,8000,,"DABAK Pharmacy is a well-established retail pharmacy chain with an imposing record of almost 30 years of meeting the pharmaceutical, medicinal, and medical supply needs of communities across Nigeria through a range of globally sourced, best-of-range medicines, medical devices, and equipment.",1993,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66f67f8ea871d40001847c01/picture,,,,,,"2025-10-14, 133 7109 8225, 2025-10-07, 2025-10-21, 2025-10-28"
QUALEX GLOBAL LIMITED,QUALEX GLOBAL,Cold,Pharmaceutical companies,1,pharmaceuticals,itsmartdigital@gmail.com,http://www.qualexg.com,http://www.linkedin.com/company/qualex-global-limited,,,,Ota,Ogun State,Nigeria,,"Ota, Ogun State, Nigeria","process improvement, facility design, quality management system implementation, haccp, good distribution practice including cold chain distribution, good laboratory practice, current good manufacturing practice, facility design current good manufacturing practice quality management system implementation good dis, pharmaceutical manufacturing, pharmaceuticals, medical",,,,,,,,,6991c1de8593ab0015789590,,,"Qualex Global Limited (QG) group was founded with a focus on providing solutions and support to individuals and organisations in general but particularly to practitioners and stakeholders (employees, manufacturers, employers/owners, regulators, consumers/patients) in the Food, Pharmaceutical and Cosmetics industries in the areas of Regulatory Compliance, current Good Manufacturing Practice, Good Distribution Practice, Process Management, Incident Management and Quality Management Systems. Our clientele also includes the organisations that provide inputs and other services to our target industries such as packaging components, raw materials and excipients suppliers, logistics providers, warehouses, depots, wholesalers and distributors. 
Our primary area of operation is the West Africa sub-region emerging market.
Our approach is to apply systematic diagnostic methodology to understand the possible root causes of every situation or incident and then scientifically determine the best and most cost effective solution; we also partner with our clients to implement the solution. Our motto is ‘Continuous Improvement'.",1998,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,,,,,,
PharmaBinNG,PharmaBinNG,Cold,Pharmaceutical companies,0,pharmaceuticals,itsmartdigital@gmail.com,http://www.pharmabin.org,http://www.linkedin.com/company/pharmabin-ng,,,,,Osun,Nigeria,,"Osun, Nigeria","pharmaceutical waste management, pharmaceutical manufacturing, pharmaceuticals, medical",,,,,,,,,6991c1de8593ab0015789596,,,"PharmaBin is an initiative dedicated to solving the pressing issue of pharmaceutical waste management in Nigeria. By integrating technology, community engagement, and environmental sustainability, PharmaBin provides a safe, efficient, and eco-friendly solution for the disposal of expired, unused, or contaminated medications.

Our platform connects households, community pharmacies, and regulatory bodies, ensuring proper collection and disposal of pharmaceutical waste while raising awareness about its impact on health and the environment. With a vision to lead responsible waste management practices in Nigeria, PharmaBin is committed to fostering a cleaner, healthier, and more sustainable future.

Join us on this journey to protect our planet and promote public health.",2024,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67d8efd16682ce000178bf2d/picture,,,,,,
